Hour,Occupancy/Capacity Sum,Occupancy/Capacity Avrg
2.5,2.44701766680262,0.000760415682660853
2.51,2.01443839372328,0.000625990799789709
2.52,0.802999276614073,0.00024953364717653
2.53,0.672458531099765,0.000208967846830256
2.54,0.518243652195506,0.000161045261713955
2.55,0.343410644071815,0.0001067155512964
2.56,0.807025794006922,0.000250784895589472
2.57,0.358313334604663,0.00011134659248125
2.58,0.5521354656513,0.000171577211203014
2.59,0.313657837777122,9.74698066429839E-05
3,0.211126091422702,6.56078593606904E-05
3.01,0.268181818181818,8.3338041697271E-05
3.02,0.165568703011372,5.14508088910416E-05
3.03,0.343249927838936,0.000106665608402404
3.04,0.904760670974009,0.000281156206020512
3.05,1.63282157648843,0.000507402603010698
3.06,1.20916458441377,0.00037575033698377
3.07,1.21284918981535,0.000376895335554803
3.08,1.00461860716809,0.000312187261394683
3.09,0.567109501932639,0.000176230423223318
3.1,0.470561738358616,0.000146228010677009
3.11,0.427327810172736,0.000132792980165549
3.12,0.338118431102896,0.00010507098542663
3.13,0.174456872706811,5.42128255770077E-05
3.14,0.146840894342517,4.56311045191164E-05
3.15,0.341599209465319,0.000106152644333536
3.16,0.363470003887461,0.000112949037876775
3.17,0.0824966261808367,2.56359932196509E-05
3.18,0.0381818181818182,1.18650771230013E-05
3.19,0.625909792448868,0.000194502732271245
3.2,1.53085275309742,0.000475715585176326
3.21,1.35970498225585,0.000422531069687958
3.22,1.5201466177292,0.000472388631985458
3.23,0.711766457490796,0.000221182864353883
3.24,0.391803748112063,0.000121753806125563
3.25,0.194419839002829,6.04163576764541E-05
3.26,0.425421625657817,0.000132200629477258
3.27,0.340518732711038,0.000105816883999701
3.28,0.144022728454777,4.47553537771215E-05
3.29,0.0278187177597642,8.6447227345445E-06
3.3,0.0264912280701754,8.23220263212413E-06
3.31,0.200240241068625,6.22250593749613E-05
3.32,0.339905641743877,0.000105626364743281
3.33,0.266905294865118,8.29413594981721E-05
3.34,0.809849748304347,0.000251662445091469
3.35,1.04279403662313,0.000324050353207933
3.36,1.05790044148134,0.00032874469903087
3.37,0.787433983839632,0.000244696701006722
3.38,1.04852434338392,0.000325831057608429
3.39,0.791582495342942,0.000245985859335905
3.4,0.332961815732714,0.00010346855678456
3.41,0.254909346508628,7.92135943159193E-05
3.42,0.706541328524599,0.000219559144973461
3.43,0.349354341194378,0.00010856256718284
3.44,0.367706916815489,0.000114265667127249
3.45,0.184644463042029,5.73786398514695E-05
3.46,0.367015316979835,0.000114050751081366
3.47,0.0439556341232369,1.36593020892594E-05
3.48,0.0646614449580551,2.00936746296007E-05
3.49,1.25433580294339,0.000389787384382658
3.5,1.7646912506826,0.000548381370628527
3.51,1.20656729143846,0.000374943222945451
3.52,0.806974664286751,0.000250769006925653
3.53,1.21904755353318,0.000378821489600118
3.54,0.637339847946274,0.000198054645104498
3.55,0.751184850604355,0.000233432209634666
3.56,0.52137741913789,0.000162019086121159
3.57,0.282180108600308,8.76880387197974E-05
3.58,0.311515730345737,9.68041424318636E-05
3.59,0.190017825311943,5.9048423030436E-05
4,0.37150157067917,0.000115444863480165
4.01,0.155781590255309,4.84094438332221E-05
4.02,0.0107976314872867,3.355385794682E-06
4.03,0.0596109399075501,1.85242199837011E-05
4.04,0.756208201921515,0.000234993226203081
4.05,2.15089052615665,0.000668393575561419
4.06,1.85688357194285,0.000577030320678325
4.07,1.7364013377509,0.000539590223042542
4.08,1.12603932252215,0.000349918993947219
4.09,0.590178857314382,0.000183399272005712
4.1,0.733595079026775,0.000227966152587562
4.11,0.687657998795927,0.000213691112118063
4.12,0.464185103900329,0.000144246458639008
4.13,0.373774563104112,0.000116151200467406
4.14,0.381275304638673,0.000118482071049929
4.15,0.315426135755083,9.80193088113993E-05
4.16,0.156173880736678,4.85313488926903E-05
4.17,0.0896225412014886,2.78503857058697E-05
4.18,0.251126091422702,7.80379401562155E-05
4.19,0.948897747239866,0.000294871891622084
4.2,1.85479577804392,0.000576381534507124
4.21,1.57287508083828,0.000488774108402201
4.22,1.34194502388924,0.000417012126752405
4.23,1.68189936459693,0.000522653624797058
4.24,1.26451858713575,0.000392951705138519
4.25,0.462872175799538,0.00014383846357972
4.26,0.306734206931057,9.53182743726094E-05
4.27,0.2363762525755,7.34543979414231E-05
4.28,0.144348772404573,4.48566725930929E-05
4.29,0.0172413793103448,5.35779344634706E-06
4.3,0.0333333333333333,1.03584006629376E-05
4.31,0.201007721003056,6.24635553148093E-05
4.32,0.38775019193721,0.000120494155356498
4.33,0.0649527665317139,2.01842033970522E-05
4.34,1.06426857621759,0.00033072360976308
4.35,1.93301741977792,0.00060068906767493
4.36,1.58782784003297,0.000493420708524852
4.37,0.945026006430586,0.000293668740345117
4.38,1.25151514025376,0.000388910857754431
4.39,0.565349280704614,0.00017568343092126
4.4,0.624089771951582,0.000193937157225476
4.41,0.415182582396129,0.000129018826101967
4.42,0.44910538845153,0.000139560406603956
4.43,0.249704065877509,7.75960428457144E-05
4.44,0.021969696969697,6.82712770966345E-06
4.45,0.329023563882517,0.000102244737067283
4.46,0.677684001854444,0.000210591672422139
4.47,0.316775762403562,9.8438708018509E-05
4.48,0.2497336821975,7.76052461769733E-05
4.49,1.07975694181048,0.000335536650655837
4.5,1.7766252339048,0.000552089880020136
4.51,1.14194071452364,0.000354860383630714
4.52,1.43249048460888,0.000445149311562734
4.53,1.78125481609589,0.000553528532037257
4.54,1.60236904252911,0.000497939416572127
4.55,0.600180960614652,0.000186507445809401
4.56,0.276285160605119,8.58561717231571E-05
4.57,0.596707159535673,0.000185427955107419
4.58,0.275929682280695,8.57457061158157E-05
4.59,0.264208228583786,8.21032407034761E-05
5,0.109616913623201,3.40636773223124E-05
5.01,0.212667202608249,6.60867627744714E-05
5.02,0.209560016291558,6.51211983503908E-05
5.03,0.474762290738292,0.000147533340813639
5.04,1.13616436467219,0.000353065371246796
5.05,1.53220891036043,0.000476137013785093
5.06,0.846174161876639,0.00026295032998031
5.07,1.2257297008934,0.000380897980389498
5.08,1.8194583873269,0.000565400368964233
5.09,1.55824870116091,0.000484228931373807
5.1,0.811473306764956,0.00025216696916251
5.11,0.922089163360522,0.000286541070031237
5.12,0.492101780904348,0.000152921622406572
5.13,0.458936909724904,0.00014261557169823
5.14,0.292466479431434,9.08845492328882E-05
5.15,0.310141267245791,9.63770252472937E-05
5.16,0.491988309720447,0.000152886361006975
5.17,0.721150138170495,0.000224098862079085
5.18,0.315907967780876,9.81690390866613E-05
5.19,1.03565130648267,0.000321830735389271
