NodeId,X,Y,Z,TotalTraffic
EJIJCZM,65.2934,1.6,2.057846,39
WLPTXIW,75.22404,1.6,1.970795,77
IPAPAWO,79.59149,1.6,4.055054,13
GJRPDTJ,87.62279,1.6,3.90004,23
IWMFUTY,88.60698,1.6,7.189888,337
CTQJQZW,75.48594,1.6,8.339661,1087
DLALTJE,99.54481,1.6,15.37795,48
SLLTFUD,100.4485,1.6,5.250244,618
ZHJQXDN,125.959,1.6,16.03626,18
KSXRZAZ,125.6905,1.6,6.011833,624
EQLHZVF,120.6087,1.6,40.42499,4
RHFOPLT,122.4158,1.6,37.48855,1
ALZAAGQ,117.4604,1.6,34.87318,1
GCGQRAQ,119.3184,1.6,30.19071,1
EPNNVGL,107.2987,1.6,26.14365,1
LFEAGDJ,104.7204,1.6,32.25825,10
DDOKASH,97.82691,1.6,31.43454,123
GTNPKTO,98.2753,1.6,-4.648956,2008
KDEGLTZ,128.761,1.6,-3.101807,928
AHMBNHI,137.4153,1.6,-2.939484,941
KROWRPK,135.0686,1.6,21.33289,35
DDYEFAN,145.0793,1.6,10.55252,517
IICBTIW,166.0905,1.6,7.615532,280
GOWVFBC,153.8525,1.6,19.52879,81
ZTNZJGA,152.1593,1.6,18.44432,237
IHVTOYA,147.328,1.6,26.13641,12
HPFPLEG,155.2194,1.6,21.33006,85
PTVWPXA,190.2046,1.6,5.518318,27
KSSUEBV,180.9883,1.6,22.9397,3
WZDFNTK,168.0467,1.6,37.44585,11
DADJFLX,158.56,1.6,46.8663,9
EKIHENB,161.2242,1.6,49.18494,31
QSSJZEU,173.5379,1.6,39.24274,54
OIBSFWL,168.4784,1.6,31.11359,32
GWDVCVG,165.4618,1.6,29.18796,11
RMPEAHX,160.7056,1.6,26.16438,110
BJDRCXS,148.2448,1.6,35.96103,13
NFEIKCD,146.0108,1.6,35.32442,9
RLIBWKY,137.7608,1.6,40.07151,10
PTSIADW,133.8309,1.6,35.98419,19
KPKURHY,132.5766,1.6,41.44849,24
BJBQGLG,123.1944,1.6,42.29012,20
GHVARYA,193.7987,1.6,41.03416,829
NCYIBMA,169.5281,1.6,54.1758,3
XYNEPFR,158.1209,1.6,51.72697,3238
CCQTFFL,175.9767,1.6,44.99863,2037
AXSVDRL,179.8787,1.6,51.35478,1
HGWBVDD,193.3737,1.6,54.83035,1
JRKFZHO,192.765,1.6,66.54044,1
UFKLLMJ,193.2334,1.6,58.89363,1
SGYEATZ,176.0161,1.6,77.82211,1
YLIVKHC,189.0068,1.6,85.02341,1
EEFTAOB,193.2468,1.6,87.18922,1
AUBGOZK,179.3676,1.6,55.93832,1
LGCMVER,174.0386,1.6,60.14832,1
REXJGUS,163.5853,1.6,64.10692,1
JYIMLWJ,170.7917,1.6,57.70038,2
KJHBYPA,157.185,1.6,58.49729,3
VSUYVJI,155.648,1.6,61.38768,1
CCOFBNI,152.1915,1.6,71.39738,1
JMCRBED,121.0981,1.6,43.71667,11173
YNTKSGQ,97.59834,1.6,34.63021,4412
VZNLUGZ,74.72926,1.6,29.26578,5743
WPDXXSE,67.82602,1.6,28.97655,255
BITANUF,39.13868,1.6,28.71644,1064
QEAAUNU,40.16434,1.6,33.6938,35
JYQISBS,79.6394,1.6,57.18714,9
IVWLDEZ,73.83394,1.6,41.51772,337
WJNOEYW,91.09264,1.6,48.08891,100
UETXGEP,87.45382,1.6,52.7805,76
EQXXRKF,102.8083,1.6,52.98212,11
ZMGFDQX,100.1839,1.6,57.77354,77
YTEHFUY,98.50886,1.6,61.31583,77
NZZUVEU,92.49562,1.6,59.08519,7
ESQKTGY,90.84154,1.6,62.47647,11
AMYMTVB,96.82252,1.6,64.43777,25
RUBLTHF,87.31323,1.6,77.07207,3
CZDCZXQ,80.09972,1.6,75.19447,27
WHYIJRP,83.96701,1.6,60.95692,33
KVTQVIH,75.6113,1.6,52.89717,73
GUPLKSC,64.10168,1.6,68.1283,1
